słowo, udział procentowy w wikipedii duńskiej, stała prawa zipfai, 0.03732%, 0.03732
kunst, 0.00013%, 0.08813
etableret, 0.00013%, 0.08787
gjort, 0.00013%, 0.08796
skiftede, 0.00013%, 0.08804
gruppen, 0.00013%, 0.08800
ældste, 0.00013%, 0.08789
version, 0.00013%, 0.08783
lavet, 0.00013%, 0.08786
roskilde, 0.00013%, 0.08787
flyttede, 0.00013%, 0.08792
maria, 0.00013%, 0.08803
støtte, 0.00013%, 0.08807
startede, 0.00013%, 0.08819
hk, 0.00013%, 0.08819
imod, 0.00013%, 0.08819
sankt, 0.00013%, 0.08809
this, 0.00013%, 0.08820
stammer, 0.00013%, 0.08825
fast, 0.00013%, 0.08826
altid, 0.00013%, 0.08837
vestlige, 0.00013%, 0.08841
instruktør, 0.00013%, 0.08842
års, 0.00013%, 0.08837
open, 0.00013%, 0.08845
cm, 0.00013%, 0.08824
omfatter, 0.00013%, 0.08823
indenfor, 0.00013%, 0.08835
av, 0.00013%, 0.08838
højeste, 0.00013%, 0.08849
return, 0.00013%, 0.08855
person, 0.00013%, 0.08863
særlig, 0.00013%, 0.08862
resultater, 0.00013%, 0.08874
schweiz, 0.00013%, 0.08886
mindst, 0.00013%, 0.08891
iw, 0.00013%, 0.08895
links, 0.00013%, 0.08898
johannes, 0.00013%, 0.08907
lokale, 0.00013%, 0.08917
syv, 0.00013%, 0.08929
lave, 0.00013%, 0.08941
hus, 0.00013%, 0.08952
arter, 0.00013%, 0.08959
hinanden, 0.00013%, 0.08941
regering, 0.00013%, 0.08951
søren, 0.00013%, 0.08957
finder, 0.00013%, 0.08964
center, 0.00013%, 0.08974
mor, 0.00013%, 0.08964
forlag, 0.00013%, 0.08967
verdens, 0.00013%, 0.08970
herefter, 0.00013%, 0.08970
arbejdede, 0.00013%, 0.08966
bygning, 0.00013%, 0.08977
kampen, 0.00012%, 0.08986
ole, 0.00012%, 0.08984
live, 0.00012%, 0.08996
bestod, 0.00012%, 0.08997
samarbejde, 0.00012%, 0.09005
vinder, 0.00012%, 0.08993
serien, 0.00012%, 0.09001
arbejder, 0.00012%, 0.08998
th, 0.00012%, 0.09004
type, 0.00012%, 0.09009
jorden, 0.00012%, 0.09020
titlen, 0.00012%, 0.09026
samlede, 0.00012%, 0.09037
normalt, 0.00012%, 0.09042
vand, 0.00012%, 0.09049
typisk, 0.00012%, 0.09053
general, 0.00012%, 0.09049
floden, 0.00012%, 0.09055
county, 0.00012%, 0.09067
region, 0.00012%, 0.09079
hjem, 0.00012%, 0.09089
charles, 0.00012%, 0.09083
press, 0.00012%, 0.09091
linje, 0.00012%, 0.09084
holland, 0.00012%, 0.09086
næste, 0.00012%, 0.09088
gode, 0.00012%, 0.09095
pedersen, 0.00012%, 0.09105
dets, 0.00012%, 0.09072
ligeledes, 0.00012%, 0.09078
historiske, 0.00012%, 0.09082
die, 0.00012%, 0.09076
eget, 0.00012%, 0.09085
anna, 0.00012%, 0.09092
that, 0.00012%, 0.09082
ene, 0.00012%, 0.09087
røde, 0.00012%, 0.09085
bandet, 0.00012%, 0.09094
direktør, 0.00012%, 0.09093
